CountyName,RecType,"Region-2 County-3 District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat
Cook,Dist,150160017,0,0,Beacon Therapeutic School,Susan Reyna-Guerrero,1912 W 103rd St,Chicago,60643 2625,773298-1243,,35,18,1,C
Cook,School,150160017,0,252,Beacon - Cal Park - Autism,Joan Gross,12440 S Ada St,Calumet Park,60827 5802,708388-3183,,28,14,1,D
Cook,School,150160017,0,253,Beacon - Main - Autism,Lawrence A Wyrobek,10650 S Longwood Dr,Chicago,60643 2617,773881-1005,,35,18,3,D
Cook,Dist,150160035,0,0,One Hope United,David McDonnell,111 E Wacker Dr Ste 325,Chicago,60601 4380,312949-5612,,5,3,7,C
Cook,School,150160035,0,82,CARE Day School,Ann Deuel,215 N Milwaukee Ave,Lake Villa,60046 8529,847245-6584,,64,32,14,D
Cook,School,150160035,0,412,CARE,Ann Deuel,215 N Milwaukee Ave,Lake Villa,60046 8529,847245-6584,,64,32,14,D
Cook,Dist,150160045,0,0,Chicago Lighthouse,Janet Szlyk,1850 W Roosevelt Rd,Chicago,60608 1200,312666-1331,,9,5,7,C
Cook,School,150160045,0,61,Chicago Lighthouse,Lee Burklund,1850 W Roosevelt Rd,Chicago,60608 1200,312666-1331,,9,5,7,D
Cook,Dist,150160051,0,0,Childrens Home and Aid Society,Nancy Ronquillo,125 S Wacker Dr,Chicago,60606 4424,312424-6801,,9,5,7,C
Cook,School,150160051,0,418,Rice Childrens Cntr (residential),Melissa Ludington,1101 Washington St,Evanston,60202 1619,847866-3800,,18,9,9,D
Cook,Dist,150160077,0,0,Easter Seals Metropolitan Chicago,E Timothy Muri,1939 W 13th St Ste 300,Chicago,60608 1237,312491-4110,,9,5,7,C
Cook,School,150160077,0,70,Easter Seals Therapeutic-South,Maryellen Bucci,17300 Ozark Ave,Tinley Park,60477 2693,708802-9050,,38,19,1,D
Cook,School,150160077,0,95,Easter Seals Therapeutic,Sarah Rose,1939 W 13th St,Chicago,60608 1236,312432-1751,,9,5,7,D
Cook,School,150160077,0,173,Easter Seals Therapeutic - Int,Sarah Rose,1939 W 13th St,Chicago,60608 1236,312432-1751,,9,5,7,D
Cook,School,150160077,0,199,Easter Seals Therap - Rockford,Jacque Ruch,615 S 5th St,Rockford,61104 3021,815965-6745,,67,34,17,D
Cook,School,150160077,0,200,Easter Seals Therap-Rockford-Int,Jacque Ruch,615 S 5th St,Rockford,61104 3021,815965-6745,,67,34,17,D
Cook,School,150160077,0,216,Easter Seals South - Intensive,Maryellen Bucci,17300 Ozark Ave,Tinley Park,60477 2693,708802-9050,,38,19,1,D
Cook,Dist,150160083,0,0,Esperanza Community Services,Joy Decker,520 N Marshfield Ave,Chicago,60622 6731,312243-6097,,10,5,5,C
Cook,School,150160083,0,110,Esperanza School,Cindy Dombkowski,520 N Marshfield Ave,Chicago,60622 6731,312243-6097,,10,5,5,D
Cook,School,150160083,0,157,Esperanza School - Intensive,Cindy Dombkowski,520 N Marshfield Ave,Chicago,60622 6731,312243-6097,,10,5,5,D
Cook,Dist,150160091,0,0,Gateway to Learning,Cheryl Hennely,4925 N Lincoln Ave,Chicago,60625 2609,773784-3200,,13,7,5,C
Cook,School,150160091,0,113,Gateway to Learning,Cheryl Hennelly,4925 N Lincoln Ave,Chicago,60625 2609,773784-3200,,13,7,5,D
Cook,Dist,150160127,0,0,Lawrence Hall Youth Services,Kara Teeple,4833 N Francisco Ave,Chicago,60625 3640,773769-3500,,13,7,5,C
Cook,School,150160127,0,430,Lawrence Hall-Institutional,Victoria Hicks,4833 N Francisco Ave,Chicago,60625 3640,773769-3511,,13,7,5,D
Cook,School,150160127,0,588,Lawrence Hall-Ashland,Tracy Levine,65 E Wacker Pl,Chicago,60601 7296,773973-1809,,5,3,7,D
Cook,School,150160127,0,589,Lawrence Hall-Lakewood,Tracy Levine,65 E Wacker Pl,Chicago,60601 7296,773262-0892,,5,3,7,D
Cook,Dist,150160131,0,0,Lester and Rosalie Anixter Center,Dr. Terese Garate,2001 N Clybourn Ave,Chicago,60614 4036,773761-1501,,14,7,9,C
Cook,School,150160131,0,31,Stuart G Ferst School-Intensive,Mo Buti,6050 N California Ave,Chicago,60659 3916,773761-4651,,16,8,9,D
Cook,School,150160131,0,40,Stuart G Ferst - Therapeutic Day,Mo Buti,6050 N California Ave,Chicago,60659 3916,773761-4651,,16,8,9,D
Cook,Dist,150160162,0,0,New Horizon Center,Patricia Palmer,6737 W Forest Preserve Ave,Chicago,60634 1470,773286-6226,,19,10,5,C
Cook,School,150160162,0,143,New Horizon Center-Intensive,Kathleen Nelson,6737 W Forest Preserve Ave,Chicago,60634 1470,773286-6226,,19,10,5,D
Cook,School,150160162,0,172,New Horizon Center,Kathleen Nelson,6737 W Forest Preserve Ave,Chicago,60634 1470,773286-6226,,19,10,5,D
Cook,Dist,150160169,0,0,PACTT Learning Center,Kristen Gottschling,7101 N Greenview Ave,Chicago,60626 2628,773338-9102,,14,7,9,C
Cook,School,150160169,0,3,PACTT Learning Center,Paula Jablonski,7101 N Greenview Ave,Chicago,60626 2628,773338-9102,,14,7,9,D
Cook,School,150160169,0,209,PACTT Learning Center - Int,Paula Jablonski,7101 N Greenview Ave,Chicago,60626 2628,773338-9102,,14,7,9,D
Cook,School,150160169,0,243,PACTT Transition Program,Paula Jablonski,7101 N Greenview Ave,Chicago,60626 2628,773338-9102,,14,7,9,D
Cook,School,150160169,0,427,PACTT-Oak Park,Paula Jablonski,714 Belleforte Ave,Oak Park,60302 1579,773338-9102,,78,39,7,D
Cook,School,150160169,0,562,PACTT - Elmwood Park Group Home,Paula Jablonski,7914 W Cortland Pkwy,Elmwood Park,60707 3524,773338-9102,,78,39,5,D
Cook,Dist,150160185,0,0,Rush Medical Center,Larry Goodman,1653 W Congress Pkwy,Chicago,60612 3833,312942-5000,,9,5,7,C
Cook,School,150160185,0,220,Rush University Medical Center,Jean Heideman,2150 W Harrison St,Chicago,60612 3706,312942-6627,,9,5,7,D
Cook,Dist,150160198,0,0,South Central Community Services,Felicia Blasingame,8316 S Ellis Ave,Chicago,60619 5509,773483-0900,,33,17,1,C
Cook,School,150160198,0,20,South Central School-Main Campus,Geneva Reynolds,1021 E 83rd St,Chicago,60619 5505,773483-0900,,33,17,1,D
Cook,School,150160198,0,226,South Central School,Geneva Reynolds,7550 S Phillips Ave,Chicago,60649 3724,773374-2223,,25,13,2,D
Cook,Dist,150160222,0,0,Thresholds,Mark Ishaug,120 S LA Salle St,Chicago,60603 3403,773572-5200,,11,6,5,C
Cook,School,150160222,0,235,Thresholds-Loren Juhl High School,Tom Moore,4219 N Lincoln Ave,Chicago,60618 2901,773537-3029,,11,6,5,D
Cook,School,150160222,0,420,Thresholds-James House,Leah Seligman,4448 N Kimball Ave,Chicago,60625 5416,773537-3024,,40,20,4,D
Cook,School,150160222,0,423,Thresholds-Dianes House,Leah Seligman,2041 W Arthur Ave,Chicago,60645 5516,773537-3024,,16,8,9,D
Cook,School,150160222,0,424,Thresholds-Mary Hill House,Leah Seligman,7356 N Winchester Ave,Chicago,60626 1509,773537-3024,,14,7,9,D
Cook,School,150160222,0,596,Thresholds - Excel,Patricia Biggs,2352 W Touhy Ave Ste 1K,Chicago,60645 3442,773537-3376,,,,,D
Cook,Dist,150160228,0,0,UCAN,Zachary W Schrantz,3605 W Fillmore St,Chicago,60624 4310,773588-0180,,40,20,4,C
Cook,School,150160228,0,39,Ucan,Cherilyn Thomas,3110 W Grand Ave,Chicago,60622 4324,773722-3097,,4,2,7,D
Cook,School,150160228,0,89,Ucan/High School,Cherilyn Thomas,3110 W Grand Ave,Chicago,60622 4324,773722-3097,,4,2,7,D
Cook,School,150160228,0,300,UCAN Cal Park,Ms. Cherilyn Thomas,12440 S Ada St,Calumet Park,60827 5802,708388-3183,,,,,D
Cook,School,150160228,0,366,UCAN Cal Park - Intensive,Ms. Cherilyn Thomas,12440 S Ada St,Calumet Park,60827 5802,708388-3183,,,,,D
Cook,School,150160228,0,379,UCAN Longwood,Ms. Cherilyn Thomas,10650 S Longwood Dr,Chicago,60643 2617,773881-1005,,,,,D
Cook,School,150160228,0,380,UCAN Longwood - Intensive,Ms. Cherilyn Thomas,10650 S Longwood Dr,Chicago,60643 2617,773881-1005,,,,,D
Cook,Dist,150160243,0,0,Jewish Child & Family Services,Sandra Spicher,216 W Jackson Blvd,Chicago,60606 6909,312357-4800,,6,3,7,C
Cook,School,150160243,0,79,Jewish Bureau-Therapeutic,Sandra Spicher,3145 W Pratt Blvd,Chicago,60645 4125,773467-3900,,16,8,9,D
Cook,School,150160243,0,227,Jewish Bureau  Therapeutic - Int,Sandra Spicher,3145 W Pratt Blvd,Chicago,60645 4125,773467-3900,,16,8,9,D
McLean,Dist,170640015,0,0,Baby Fold,Dianne Schultz,108 E Willow St,Normal,61761 1640,309452-1170,,105,53,18,C
McLean,School,170640015,0,32,Hammitt School-Day,Rhonda Howard,108 E Willow St,Normal,61761 1640,309452-1170,,105,53,18,D
McLean,School,170640015,0,249,Hammitt Day - Challenges Autism,Melody Donnnelly,108 E Willow St,Normal,61761 1640,309452-1170,,105,53,18,D
McLean,School,170640015,0,250,Hammitt Jr/Sr-Challenges Autism,Miranda Braye,1500 Fort Jesse Rd Ste A,Normal,61761 1981,309452-1790,,105,53,18,D
McLean,School,170640015,0,270,Hammitt Junior-Senior High Sch,Miranda Braye,1500 Fort Jesse Rd,Normal,61761 1981,309452-1790,,105,53,18,D
McLean,School,170640015,0,516,Hammitt Residential,Dianne Schultz,614 Oglesby Ave,Normal,61761 1888,309452-1170,,105,53,18,D
McLean,Dist,170640333,0,0,Ausome Academy,Kim Williamson,403 Kays Dr,Normal,61761 1958,309662-5050,,,,,C
Dupage,Dist,190220096,0,0,PPAG LLC,Melissa Waxler,900 S Park Blvd,Streamwood,60107 2135,630823-8323,,44,22,8,C
Dupage,School,190220096,0,175,Parkland Preparatory Academy,Sarah Commike,900 S Park Blvd,Streamwood,60107 2135,630823-8323,,44,22,8,D
Dupage,School,190220096,0,221,Parkland Preparatory Academy-Int,Sarah Commike,900 S Park Blvd,Streamwood,60107 2135,630823-8323,,44,22,8,D
Dupage,School,190220096,0,371,Parkland Prep Acad Plainfield,Melissa Waxler,27040 W 127th St,Plainfield,60585 5000,630636-9732,,,,,D
Dupage,School,190220096,0,372,Parkland Prep Acad Plainfield INT,Melissa Waxler,27040 W 127th St,Plainfield,60585 5000,630636-9732,,,,,D
Dupage,Dist,190220108,0,0,Turning Pointe Autism Foundation,Carrie Provenzale,1500 W Ogden Ave,Naperville,60540 3919,630570-7948,,41,21,11,C
Dupage,School,190220108,0,271,Turning Pointe CN Day School,Bernadette Bassett,1500 W Ogden Ave,Naperville,60540 3919,630615-6037,,41,21,11,D
Dupage,Dist,190220110,0,0,Guiding Light Counseling & Ed Ctr,William Palmer,1051 Internationale Pkwy,Woodridge,60517 4945,630783-0100,,85,43,11,C
Dupage,School,190220110,0,318,Guiding Light Academy,Colleen Sheehan,1051 Internationale Pkwy,Woodridge,60517 4945,630739-7500,,85,43,11,D
Dupage,School,190220110,0,363,Guiding Light Academy Int,Colleen Sheehan,1051 Internationale Pkwy,Woodridge,60517 4945,630739-7500,,,,,D
Dupage,Dist,190220114,0,0,Abraxas Youth & Family Services,Eileen Roberts,2221 64th St,Woodridge,60517 2180,630824-4575,,85,43,11,C
Dupage,School,190220114,0,247,Abraxas Naperville Bridge Program,Eileen Roberts,2221 64th St,Woodridge,60517 2180,630824-4575,,85,43,11,D
Dupage,School,190220114,0,261,Abraxas Naperville Bridge-Int,Eileen Roberts,2221 64th St,Woodridge,60517 2180,630824-4575,,85,43,11,D
Dupage,School,190220114,0,327,Abraxas Meridian North,Eileen Roberts,2221 64th St,Woodridge,60517 2180,630824-4575,,81,41,11,D
Dupage,Dist,190220117,0,0,Northern IL Academy,Carolyn Willandt,998 Corporate Blvd,Aurora,60502 9102,630952-2208,,83,42,11,C
Dupage,School,190220117,0,556,Northern IL Academy,Jennifer Marriot,998 Corporate Blvd,Aurora,60502 9102,630952-2208,,83,42,11,D
Dupage,School,190220117,0,557,Northern IL Academy - Int,Jennifer Marriot,998 Corporate Blvd,Aurora,60502 9102,630952-2208,,83,42,11,D
Dupage,School,190220117,0,561,Northern IL Academy - Autism,Jennifer Marriot,998 Corporate Blvd,Aurora,60502 9102,630952-2208,,83,42,11,D
Dupage,School,190220117,0,568,Northern IL Academy - Autism Int,Jennifer Marriot,998 Corporate Blvd,Aurora,60502 9102,630952-2208,,83,42,11,D
Dupage,Dist,190220136,0,0,Little Friends,Camille Smith,140 N Wright St,Naperville,60540 4748,630355-6533,,41,21,6,C
Dupage,School,190220136,0,67,Little Friends-Bridge-Intensive,Camille Smith,619 E Franklin Ave,Naperville,60540 4693,630355-6870,,81,41,11,D
Dupage,School,190220136,0,145,Little Friends-Krejci/Mansion,Camille Smith,619 E Franklin Ave,Naperville,60540 4693,630355-6870,,41,21,6,D
Dupage,School,190220136,0,149,Little Friends-Bridge High School,Camille Smith,619 E Franklin Ave,Naperville,60540 4693,630355-6870,,81,41,11,D
Dupage,School,190220136,0,152,Little Friends-Krejci-Intensive,Camille Smith,619 E Franklin Ave,Naperville,60540 4693,630355-6870,,41,21,6,D
Dupage,Dist,190220137,0,0,PPAG II LLC,Melissa Waxler,900 S Park Blvd,Streamwood,60107 2135,630823-8323,,44,22,8,C
Dupage,School,190220137,0,287,Parkland Prep Academy South,Melissa Waxler,8901 S 52nd Ave,Oak Lawn,60453 1388,708857-8100,,31,16,3,D
Dupage,School,190220137,0,290,Parkland Prep Academy South - Int,Melissa Waxler,8901 S 52nd Ave,Oak Lawn,60453 1388,630823-8323,,31,16,3,D
Dupage,Dist,190220139,0,0,Lutheran Child & Family Services,Brenton Diers,329 W Lake St,Addison,60101 2514,630543-6900,,77,39,8,C
Dupage,School,190220139,0,178,Lutherbrook Academy - Intensive,Hans Schuller,329 W Lake St,Addison,60101 2514,630628-1467,,77,39,8,D
Dupage,School,190220139,0,425,Lutherbrook Childrens Center,Hans Schuller,343 W Lake St,Addison,60101 2514,630628-1467,,77,39,8,D
Dupage,Dist,190220167,0,0,Childs Voice,Dr. Michele Wilkins,180 Hansen Ct,Wood Dale,60191 1121,630595-8200,,45,23,8,C
Dupage,School,190220167,0,213,Childs Voice,Dr. Michele Wilkins,180 Hansen Ct,Wood Dale,60191 1121,630595-8200,,45,23,8,D
Dupage,Dist,190220195,0,0,Sisters of St Joseph,Mr. John Utterback,125 E Seminary Ave,Wheaton,60187 5308,630289-4221,,42,21,6,C
Dupage,School,190220195,0,43,Clare Woods Academy-Intensive,Mr. John Utterback,125 E Seminary Ave,Wheaton,60187 5308,630289-4221,,42,21,6,D
Dupage,School,190220195,0,317,Clare Woods Academy,Mr. John Utterback,125 E Seminary Ave,Wheaton,60187 5308,630289-4221,,42,21,6,D
Dupage,Dist,190220221,0,0,Soaring Eagle Academy,Deanna Tyrpak,800 Parkview Blvd,Lombard,60148 3200,630323-2900,,82,41,11,C
Dupage,School,190220221,0,267,Soaring Eagle Academy,Jessica Nicholson,800 Parkview Blvd,Lombard,60148 3200,630323-2900,,82,41,11,D
Dupage,School,190220221,0,278,Soaring Eagle - Transition,Jessica Nicholson,800 Parkview Blvd,Lombard,60148 3200,630323-2900,,82,41,11,D
Dupage,Dist,190220242,0,0,Adventist GlenOaks Hospital,Lisa Grigsby,701 Winthrop Ave,Glendale Heights,60139 1405,630671-0383,,46,23,8,C
Dupage,School,190220242,0,1,GlenOaks Therapeutic Day-North,Mary Sue Parla,135 N Brandon Dr,Glendale Heights,60139 2039,630671-0383,,46,23,8,D
Dupage,School,190220242,0,24,GlenOaks-Therapeutic Day-South,Marla Sue Parla,1N 450 Main St,Glen Ellyn,60137,630469-3602,,46,23,8,D
Dupage,School,190220242,0,80,GlenOaks Therapeutic Day-West,Michael Carter,940 W Mooseheart Rd,North Aurora,60542 8984,630966-1811,,50,25,14,D
Dupage,School,190220242,0,198,GlenOaks Transition - South,Mary Sue Parla,1N450 Main St,Glen Ellyn,60137 3576,630469-3602,,46,23,8,D
Dupage,Dist,190220251,0,0,Giant Steps Illinois,Sylvia Smith,2500 Cabot Dr,Lisle,60532 3607,630864-3800,,42,21,6,C
Dupage,School,190220251,0,2,Giant Steps-Illinois,Martin Koranda,2500 Cabot Dr,Lisle,60532 3607,630864-3829,,42,21,6,D
Dupage,School,190220251,0,312,Giant Steps-Illinois-Int.,Martin Koranda,2500 Cabot Dr,Lisle,60532 3607,630864-3829,,42,21,6,D
Dupage,Dist,190220282,0,0,SEAL,Cindy Nudd,240 E Progress Rd,Lombard,60148 1354,630953-1222,,46,23,8,C
Dupage,School,190220282,0,142,School of Exp Arts & Learn (SEAL),Chris Robertson,240 E Progress Rd,Lombard,60148 1354,630953-1222,,46,23,8,D
Dupage,School,190220282,0,197,School of Exp Arts & Learn - South,Chris Robertson,1265 Naperville Dr,Romeoville,60446 1483,630226-0004,,85,43,11,D
Dupage,School,190220282,0,281,SEAL - West,Cindy Nudd,1200 Claussen Dr,Woodstock,60098 2139,847458-2645,,66,33,6,D
Dupage,School,190220282,0,368,Seal Quest,Cindy Nudd,1200 Claussen Dr,Woodstock,60098 2139,815337-2005,,,,,D
Dupage,Dist,190220332,0,0,Holtz Educational Center,Melinda Pieniazek,8149 S Cass Avenue,Darien,60561,630541-6441,,,,,C
Dupage,School,190220332,0,378,Holtz Educational Center,Melinda Pieniazek,8149 S Cass Avenue,Darien,60561,630541-6441,,,,,D
Jackson,Dist,300390023,0,0,Brehm Preparatory School,Brian Brown,950 S Brehm Ln,Carbondale,62901 5854,618457-0371,,118,59,12,C
Jackson,School,300390023,0,29,Brehm Preparatory School-Day,Terri Lynn Douglas,950 S Brehm Ln,Carbondale,62901 5854,618457-0371,,118,59,12,D
Jackson,School,300390023,0,504,Brehm Preparatory School,Terri Lynn Douglas,950 S Brehm Ln,Carbondale,62901 5854,618457-0371,,118,59,12,D
Jackson,Dist,300390325,0,0,Neuro-Restorative,Scott Shaw,306 W Mill St,Carbondale,62901 2727,618529-3060,,115,58,12,C
Jackson,School,300390325,0,367,NeuroRestorative Acad Chicagoland,Michael Blacharczyk,1471 E Business Center Dr Ste 300,Mt Prospect,60056 6058,618781-2929,,,,,D
Jackson,School,300390325,0,373,NeuroRestorative Acad Chgo INT,Michael Blacharczyk,1471 E Business Center Dr Ste 300,Mt Prospect,60056 6058,618781-2929,,,,,D
Jackson,School,300390325,0,520,NeuroRestorative,Scott Ewing,751 Wood Rd,Carbondale,62902,618529-3060,,115,58,12,D
Jackson,School,300390325,0,521,NeuroRestorative Bridge House,Scott Ewing,606 S Terrace Dr,Carbondale,62901 2117,618529-3060,,115,58,12,D
Jackson,School,300390325,0,597,NeuroRestorative Helen House,Camelia Botez,707 W Helen Rd,Palatine,60067 6056,847934-7398,,,,,D
Jackson,School,300390325,0,598,NeuroRestorative H H Int 16hr,Camelia Botez,707 W Helen Rd,Palatine,60067 6056,847934-7398,,,,,D
Jackson,School,300390325,0,599,NeuroRestorative H.H. Int 24hr,Camelia Botez,707 W Helen Rd,Palatine,60067 6056,847934-7398,,,,,D
Kane,Dist,310450100,0,0,Hamilton Academy,Barbara B Hamilton,180 S 8th St,West Dundee,60118 2047,847695-9732,,66,33,6,C
Kane,School,310450100,0,104,Hamilton Academy,Barbara B Hamilton,180 S 8th St,West Dundee,60118 2047,847695-9732,,66,33,6,D
Kane,Dist,310450125,0,0,Larkin Center,Dennis Graf,1212 Larkin Ave,Elgin,60123 6042,847695-5656,,43,22,8,C
Kane,Dist,310450144,0,0,Marklund,Gil Fonger,1S450 Wyatt Dr,Geneva,60134 4921,630593-5500,,50,25,14,C
Kane,School,310450144,0,76,Marklund Day School,Paula M. Bodzioch,164 S Prairie Ave,Bloomingdale,60108 1626,630307-1882,,45,23,8,D
Kane,Dist,310450178,0,0,Association for Individual Dev.,Lynn OShea,309 W New Indian Trl,Aurora,60506 2494,630966-4000,,83,42,11,C
Kane,Dist,310450202,0,0,Special Education Services,Dr. Elizabeth Conran,195 Poplar Pl,North Aurora,60542 1404,630907-2400,,83,42,11,C
Kane,School,310450202,0,122,Menta Academy Hillside,Teno Geritano,4100 Warren Ave,Hillside,60162 1763,708449-1310,,7,4,7,D
Kane,School,310450202,0,135,Hillside Academy East,Ms. Adrianne Porter,3049 W Harrison St,Chicago,60612 3342,773638-9605,,9,5,7,D
Kane,School,310450202,0,245,Country Club Hills Tech & Trade,Shawanda Barga,4187 183rd St,Country Club Hills,60478 5308,708798-9542,,38,19,2,D
Kane,School,310450202,0,275,Midstate Cornerstone Academy,Mrs. Casey Adam,316 E South St,Nokomis,62075 1300,217563-7600,,95,48,13,D
Kane,School,310450202,0,282,Menta Academy North Life Skills,Jennifer Barr-Wreciona,621 Belvidere Rd,Waukegan,60085 6307,847731-0066,,60,30,10,D
Kane,School,310450202,0,293,Country Club Hills Transition,Shawanda Barga,4187 183rd St,Country Club Hills,60478 5308,708798-9542,,38,19,2,D
Kane,School,310450202,0,294,Fox Tech Transition Program,Elizabeth Conran,195 Poplar Pl,North Aurora,60542 1404,630907-2400,,83,42,11,D
Kane,School,310450202,0,309,CORE Academy,Elizabeth Conran,801 W Illinois Ave,Aurora,60506 2831,630906-7900,,83,42,11,D
Kane,School,310450202,0,310,CORE Supported,Elizabeth Conran,801 W Illinois Ave,Aurora,60506 2831,630906-7900,,83,42,11,D
Kane,School,310450202,0,311,Menta Academy Oak Park,Rory Conran,44 W Madison St,Oak Park,60302 4236,630907-7869,,7,4,7,D
Kane,School,310450202,0,349,Menta Academy North,Jennifer Barr-Wreciona,621 Belvidere Rd,Waukegan,60085 6307,847599-1680,,60,30,10,D
Kane,School,310450202,0,355,Menta Acad Cornerstone Taylorville,Mrs. Casey Adam,500 E North,Stonington,62567 9700,217563-7600,,,,,D
Kane,School,310450202,0,360,Menta Acad Chicago South,Mr. Jason Kudelka,321 E 84th St,Chicago,60619 4897,773533-9605,,,,,D
Kane,School,310450202,0,369,Menta Academy Belleville,Dana Miller,6400 West Main,Belleville,62223,630907-2400,,,,,D
Kane,Dist,310450217,0,0,Summit School,Johanna White,333 W River Rd,Elgin,60123 1572,847468-0490,,66,33,8,C
Kane,School,310450217,0,229,Summit School,Helene Kraus,333 W River Rd,Elgin,60123 1572,847468-0490,,66,33,8,D
Kane,Dist,310450300,0,0,ABLE Academy,Candice Gizewski,452 N Eola Rd Ste A,Aurora,60502 9110,708220-3233,,,,,C
Kane,School,310450300,0,100,ABLE Academy,William Kruthers,595 S River St,Batavia,60510 2602,630999-0401,,,,,D
Lake,Dist,340490006,0,0,Allendale Association,Jennifer Stiemsma,600 W Grand Ave,Lake Villa,60046 9152,847356-3334,,64,32,14,C
Lake,School,340490006,0,17,Allendale-Stepping Stone-LINC,Lorine Schaar,1055 Lake Ave,Woodstock,60098 7409,815206-5725,,63,32,14,D
Lake,School,340490006,0,19,Allendale-Stepping Stone-Day,Jennifer Stiemsma,600 W Grand Ave,Lake Villa,60046 9152,847356-3334,,64,32,14,D
Lake,School,340490006,0,238,Allendale-Stepping Stone-LINC-Int,Lorine Schaar,1055 Lake Ave,Woodstock,60098 7409,815206-5725,,63,32,14,D
Lake,School,340490006,0,239,Allendale Stepping Stone-Day-Int,Jennifer Stiemsma,600 W Grand Ave,Lake Villa,60046 9152,847356-3334,,64,32,14,D
Lake,School,340490006,0,402,Allendale Residential School Prog,Jennifer Stiemsma,600 W Grand Ave,Lake Villa,60046 9152,847356-3334,,64,32,14,D
Lake,School,340490006,0,403,Allendale-Walter Cherry,Jennifer Stiemsma,421 W Water St,Waukegan,60085 5527,847360-9560,,60,30,10,D
Lake,School,340490006,0,409,Allendale-Becker House,Jennifer Stiemsma,448 N Genesee St,Waukegan,60085 4006,847244-9343,,60,30,10,D
Lake,School,340490006,0,542,Allendale Res. Sch. Prg. Int,Jennifer Stiemsma,600 W Grand Ave,Lake Villa,60046 9152,847356-3334,,64,32,14,D
Lake,School,340490006,0,554,Allendale - North Chicago,Jennifer Stiemsma,1920 Sherman Ave,North Chicago,60064 2318,847693-2060,,60,30,10,D
Lake,School,340490006,0,710,Allendale-Benet Lake,Jennifer Stiemsma,12603 224th Ave,Bristol,53104,262396-9660,,,,,D
Lake,School,340490006,0,810,Allendale-Benet Lake-Int,Jennifer Stiemsma,12603 224th Ave,Bristol,53104,262396-9660,,,,,D
Lake,Dist,340490007,0,0,Alt Behavior Treatment Centers,Robin D McGinnis,27255 N Fairfield Rd,Mundelein,60060 9117,847487-9455,,51,26,14,C
Lake,Dist,340490044,0,0,Classroom Connection Day School,Crisler Lovendahl,2225 Lakeside Dr,Bannockburn,60015 1265,847582-1787,,58,29,10,C
Lake,School,340490044,0,234,Classroom Connection Day School,Kellie Klasen,2225 Lakeside Dr,Bannockburn,60015 1265,847582-1787,,58,29,10,D
Lake,Dist,340490210,0,0,Connections Academy East,Elaina Shannon,300 S Waukegan Rd,Lake Forest,60045 2643,224544-5920,,,,,C
Lake,School,340490210,0,345,Connections Academy East,Elaina Shannon,300 S Waukegan Rd,Lake Forest,60045 2643,224544-5920,,,,,D
Lake,School,340490210,0,346,New Connections Academy East,Elaina Shannon,300 S Waukegan Rd,Lake Forest,60045 2643,224544-5920,,,,,D
Lake,Dist,340490241,0,0,Felicity Schools LLC,Michael Nekritz,158 S Waukegan Rd,Deerfield,60015 5203,224475-3329,,18,9,10,C
Lake,School,340490241,0,299,Felicity Schools LLC,Edward ONeill,158 S Waukegan Rd,Deerfield,60015 5203,847899-0002,,18,9,10,D
Lake,Dist,340490252,0,0,Connections Day School,Betty Lindquist,31410 N US Highway 45,Libertyville,60048 9444,224544-5920,,51,26,10,C
Lake,School,340490252,0,18,Connections Day School,Janet Frichtl,31410 N US Highway 45,Libertyville,60048 9444,224544-5920,,51,26,10,D
Lake,School,340490252,0,319,Connections Day School Int,Betty Lindquist,31410 N US Highway 45,Libertyville,60048 9444,224544-5920,,51,26,10,D
Lake,Dist,340490301,0,0,Winston Knolls Education Group,Val Belmonte,2353 Hassell Rd Ste 110,Hoffman Estates,60169 2170,630283-3221,,44,22,8,C
Lake,School,340490301,0,47,W. Knolls at Hoffman Est. Campus,Val Belmonte,2353 Hassell Rd Ste 11,Hoffman Estates,60169 2170,630283-3221,,44,22,8,D
Lake,School,340490301,0,347,W K at Hoffman Est. Campus INT,Val Belmonte,2353 Hassell Rd Ste 11,Hoffman Estates,60169 2170,630283-3221,,,,,D
La Salle,Dist,350500132,0,0,Lighted Way Association,Jane Duncan Wamhoff,941 6th St,La Salle,61301 2205,815224-1345,,76,38,16,C
La Salle,School,350500132,0,144,Lighted Way Association,Jane Duncan Wamhoff,941 6th St,La Salle,61301 2205,815224-1345,,76,38,16,D
La Salle,School,350500132,0,182,Lighted Way Association - Int,Jane Duncan Wamhoff,941 6th St,La Salle,61301 2205,815224-1345,,76,38,16,D
Macon,Dist,390550233,0,0,Webster-Cantrell Hall,Mr. Martin Harris,1942 E Cantrell St,Decatur,62521 3214,217423-6961,,96,48,13,C
Macon,School,390550233,0,517,Webster-Cantrell Hall,Mr. Martin Harris,1942 E Cantrell St,Decatur,62521 3214,217423-6961,,96,48,13,D
Madison,Dist,410570060,0,0,Coordinated Youth & Human Service,Cynthia A Gavilsky,2016 Madison Ave,Granite City,62040 4657,618876-2382,,113,57,12,C
Madison,School,410570060,0,105,Coordinated Youth & Human Service,Cynthia A Gavilsky,1611 W 3rd St,Granite City,62040 1893,618876-2383,,113,57,12,D
Madison,School,410570060,0,328,Coordinated Yth & Human Serv. Int,Cynthia A Gavisky,1611 W 3rd St,Granite City,62040 1893,618876-2383,,,,,D
